House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Gryffindor,The Good,Pewter box for worthy,Cure>Records>Book,Change appearance,No one knows you,Moon,Tails
Slytherin,The Good,Pewter box for worthy,Feared,Change the past,Tell person to tell truth or you will,Moon,Heads
Gryffindor,The Good,Pewter box for worthy,Imitated,Castle secrets,Volunteer to fight,Dawn,Left
Gryffindor,The Good,Pewter box for worthy,Loneliness,Every area of magic,"Draw wand, find source",Dusk,Tails
Slytherin,The Good,Pewter box for worthy,Praised,Change the past,Tell person to tell truth or you will,Moon,Heads
Slytherin,The Good,Pewter box for worthy,Trusted,Read Minds,"Tell Flitwick, you'll get points",Moon,Black
Gryffindor,The Good,Pewter box for worthy,Trusted,Werewolves,Confuse Troll,Forest,Left
Slytherin,The Good,Piano,Cure>Book>Records,Goblins,"Proceed with caution, concealed wand",River,Black
Ravenclaw,The Good,Piano,Cure>Book>Records,Werewolves,Ask what makes them think so,Moon,Black
Gryffindor,The Good,Piano,Cure>Book>Records,Werewolves,"Draw wand, find source",Forest,Tails
Gryffindor,The Good,Piano,Loneliness,Invisibility,Ask what makes them think so,Dawn,Black
Hufflepuff,The Good,Plums and chocolate,Being Ignored,Change the past,Twisting leafy woodsy path,Stars,White
Ravenclaw,The Good,Plums and chocolate,Being Ignored,Every area of magic,"Tell Flitwick, you'll get points",Dusk,White
Hufflepuff,The Good,Plums and chocolate,Boredom,Centaurs,No one knows you,Forest,Tails
Hufflepuff,The Good,Plums and chocolate,Boredom,Centaurs,No one knows you,Forest,Tails
Hufflepuff,The Good,Plums and chocolate,Boredom,Centaurs,No one knows you,Forest,Tails
Gryffindor,The Good,Plums and chocolate,Cure>Book>Records,Werewolves,What makes them think so,Moon,Tails
Hufflepuff,The Good,Plums and chocolate,Hunger,Magical Creatures,"Tell Flitwick, you'll get points",Dusk,White
Hufflepuff,The Good,Plums and chocolate,Loneliness,Castle secrets,Confuse troll,River,Heads
Hufflepuff,The Good,Sea,Book>Cure>Records,Magical Creatures,Ask what makes them think so,River,White
Slytherin,The Good,Sea,Book>Cure>Records,Merpeople,Ask what makes them think so,River,Tails
Ravenclaw,The Good,Sea,Boredom,Transfiguration,"Up high, no handholds",Dawn,White
Slytherin,The Good,Sea,Trusted,Change the past,Confuse Troll,River,Left
Hufflepuff,The Good,Sea,Trusted,Ghosts,"Proceed with caution, concealed wand",Forest,Heads
Hufflepuff,The Good,Sea,Trusted,Ghosts,"Proceed with caution, concealed wand",Forest,Heads
Ravenclaw,The Good,"Silver tree, golden apples",Being Ignored,Centaurs,Withdraw and review spells,Stars,Heads
Slytherin,The Good,"Silver tree, golden apples",Being Ignored,Merpeople,Suggest all 3 fight (without informing troll),River,Black
Ravenclaw,The Good,"Silver tree, golden apples",Cure>Book>Records,Broom Flying,Suggest all 3 fight (without informing troll),Dawn,White
Hufflepuff,The Good,"Silver tree, golden apples",Records>Cure>Book,Trolls,"Proceed with caution, concealed wand",Dawn,White
Gryffindor,The Good,Silvery glittery potion,Praised,Read Minds,Volunteer to fight,Stars,Black
Ravenclaw,The Good,Silvery glittery potion,Trusted,Talk to animals,Wide sunny grassy lane,Dawn,Heads
Slytherin,The Good,Smell: The Sea,Being Ignored,Apparition/Disapparition,Wide sunny grassy lane,River,Black
Slytherin,The Good,Statue,Being Ignored,Goblins,"Up high, no handholds",Dusk,Tails
Gryffindor,The Good,Statue,Cure>Records>Book,Vampires,Twisting leafy woodsy path,Dawn,White
Hufflepuff,The Good,Statue,Liked,Castle secrets,Confuse troll,River,Right
Hufflepuff,The Good,Statue,Liked,Castle Secrets,Confuse troll,River,Right
Gryffindor,The Good,Statue,Trusted,Change the past,Confuse Troll,Dawn,Heads
Gryffindor,The Good,Talking toadstools,Trusted,Ghosts,Eye at keyhole of dark,Stars,Left
Hufflepuff,The Good,Tortoiseshell squeaky box,Envied,Magical Creatures,Confuse troll,River,Left
Hufflepuff,The Good,Tortoiseshell squeaky box,Trusted,Castle Secrets,Twisting leafy woodsy path,Dusk,Right
Hufflepuff,The Good,Trumpet,Book>Cure>Records,Read minds,Wide sunny grassy lane,Moon,Right
Hufflepuff,The Good,Trumpet,Hunger,Castle Secrets,Draw lots,Moon,Right
Hufflepuff,The Good,Trumpet,Hunger,Castle Secrets,Draw lots,Moon,Right
Hufflepuff,The Good,Trumpet,Hunger,Superstrength,"Up high, no handholds",Dawn,White
Hufflepuff,The Good,Trumpet,Imitated,Invisibility,No one knows you,River,White
Hufflepuff,The Good,Trumpet,Imitated,Superstrength,Draw lots,Dusk,White
Hufflepuff,The Good,Violin,Book>Cure>Records,Magical Creatures,Suggest all 3 fight (without informing troll),Stars,Right
Hufflepuff,The Good,Violin,Hunger,Goblins,Agree and walk away (bluffing),Stars,Heads
Gryffindor,The Good,Violin,Praised,Apparition/Disapparition,"Cobbled street, ancient buildings",Forest,Right
Slytherin,The Good,Violin,Praised,Centaurs,"Draw wand, find source",Dusk,White
Slytherin,The Good,Violin,Praised,Centaurs,"Draw wand, find source",Dusk,White
Slytherin,The Great,Black visions goblet,Feared,Superstrength,"Proceed with caution, concealed wand",Dawn,Heads
Slytherin,The Great,Black visions goblet,Loneliness,Change appearance,Eye at keyhole of dark,Dusk,Tails
Slytherin,The Great,Black visions goblet,Praised,Hexes and Jinxes,Withdraw and review spells,River,Left
Slytherin,The Great,Black visions goblet,Trusted,Hexes and Jinxes,Lantern-lit alley,Dusk,Left
Slytherin,The Great,Drums,Book>Cure>Records,Trolls,Confuse Troll,Forest,Right
Hufflepuff,The Great,Drums,Cold,Read minds,Lie and say you don't know,Stars,White
Gryffindor,The Great,Drums,Feared,Centaurs,"Proceed with caution, concealed wand",Stars,Right
Gryffindor,The Great,Drums,Liked,Every area of magic,Tell person to tell truth or you will,Stars,Left
Ravenclaw,The Great,Fresh Parchment,Cure>Book>Records,Werewolves,"Tell Flitwick, you'll get points",River,Left
Ravenclaw,The Great,Fresh Parchment,Hunger,Change appearance,"Tell Flitwick, you'll get points",Stars,Heads
Ravenclaw,The Great,Fresh Parchment,Hunger,Change appearance,"Tell Flitwick, you'll get points",Stars,Left
Ravenclaw,The Great,Fresh Parchment,Hunger,Every area of magic,"Cobbled street, ancient buildings",Dusk,Heads
Ravenclaw,The Great,Fresh Parchment,Hunger,Every area of magic,"Tell Flitwick, you'll get points",Dusk,Heads
Ravenclaw,The Great,Fresh Parchment,Hunger,Werewolves,Withdraw and review spells,Forest,Black
Hufflepuff,The Great,Fresh Parchment,Hunger,Werewolves,"Cobbled street, ancient buildings",Stars,Left
Ravenclaw,The Great,Fresh Parchment,Trusted,Change appearance,Withdraw and review spells,Stars,Black
Ravenclaw,The Great,Fresh Parchment,Trusted,Every area of magic,"Cobbled street, ancient buildings",Stars,Heads
Gryffindor,The Great,Fresh Parchment,Trusted,Werewolves,"Tell Flitwick, you'll get points",Stars,Black
Gryffindor,The Great,Golden sunspots potion,Praised,Ghosts,Suggest all 3 fight (without informing troll),Stars,Right
Slytherin,The Great,Home,Boredom,Centaurs,"Proceed with caution, concealed wand",Stars,Black
Slytherin,The Great,Home,Boredom,Vampires,Lie and say you don't know,Moon,Black
Slytherin,The Great,Home,Cure>Book>Records,Change the past,"Tell Flitwick, you'll get points",Dusk,Right
Slytherin,The Great,Home,Envied,Centaurs,Wide sunny grassy lane,Stars,Black
Gryffindor,The Great,Home,Hunger,Merpeople,"Tell Flitwick, you'll get points",Dawn,Black
Slytherin,The Great,Home,Praised,Apparition/Disapparition,"Proceed with caution, concealed wand",Dusk,Left
Gryffindor,The Great,Log Fire,Cure>Book>Records,Change appearance,Confuse Troll,Dusk,White
Slytherin,The Great,Log Fire,Feared,Apparition/Disapparition,Draw wand and stand ground,Moon,Heads
Slytherinn,The Great,Log Fire,Feared,Apparition/Disapparition,Draw wand and stand ground,Moon,Heads
Slytherin,The Great,Log Fire,Feared,Magical Creatures,Agree and walk away (bluffing),Dawn,Left
Slytherin,The Great,Luminous pool,Being Ignored,Change appearance,"Proceed with caution, concealed wand",Moon,Tails
Slytherin,The Great,Luminous pool,Being Ignored,Read Minds,Nightmare: silly voice,River,Black
Slytherin,The Great,Luminous pool,Being Ignored,Read Minds,Silly voice,River,Black
Slytherin,The Great,Luminous pool,Being Ignored,Read Minds,Confuse Troll,Dawn,Left
Slytherin,The Great,Luminous pool,Book>Cure>Records,Change the past,Twisting leafy woodsy path,Moon,Black
Slytherin,The Great,Luminous pool,Book>Cure>Records,Every area of magic,Nightmare: silly voice,Stars,Right
Gryffindor,The Great,Luminous pool,Cure>Book>Records,Broom Flying,Tell person to tell truth or you will,Forest,Tails
Ravenclaw,The Great,Luminous pool,Envied,Ghosts,"Tell Flitwick, you'll get points",Dawn,Left
Hufflepuff,The Great,Luminous pool,Trusted,Invisibility,No one knows you,Dusk,White
Slytherin,The Great,Merlin's rune box,Book>Cure>Records,Read Minds,Confuse Troll,Moon,Tails
Slytherin,The Great,Merlin's rune box,Book>Cure>Records,Read Minds,Confuse Troll,Moon,Tails
Slytherin,The Great,Merlin's rune box,Cold,Change appearance,"Up high, no handholds",Forest,Tails
Slytherin,The Great,Merlin's rune box,Cold,Merpeople,Twisting leafy woodsy path,Stars,White
Slytherin,The Great,Merlin's rune box,Cure>Book>Records,Change appearance,Confuse Troll,Forest,Black
Gryffindor,The Great,Merlin's rune box,Cure>Book>Records,Change appearance,Confuse Troll,Dusk,Tails
Gryffindor,The Great,Merlin's rune box,Cure>Book>Records,Change appearance,Confuse Troll,Dusk,Tails
Gryffindor,The Great,Merlin's rune box,Cure>Book>Records,Change appearance,Twisting leafy woodsy path,Forest,White
Slytherin,The Great,Merlin's rune box,Cure>Book>Records,Merpeople,"Up high, no handholds",Forest,Left
Gryffindor,The Great,Merlin's rune box,Praised,Change appearance,Twisting leafy woodsy path,Forest,Tails
Slytherin,The Great,Merlin's rune box,Praised,Merpeople,Eye at keyhole of dark,Moon,Black
Gryffindor,The Great,Merlin's rune box,Trusted,Ghosts,"Proceed with caution, concealed wand",Stars,Right
Slytherin,The Great,Ornate temptation box,Boredom,Superstrength,Lie and say you don't know,Moon,Tails
Ravenclaw,The Great,Ornate temptation box,Hunger,Change appearance,Tell person to tell truth or you will,Stars,Heads
Gryffindor,The Great,Ornate temptation box,Trusted,Broom Flying,Withdraw and review spells,Dusk,Right
Ravenclaw,The Great,Ornate temptation box,Trusted,Every area of magic,"Cobbled street, ancient buildings",Stars,Heads
Gryffindor,The Great,Pewter box for worthy,Cure>Book>Records,Ghosts,Twisting leafy woodsy path,Moon,Tails
Ravenclaw,The Great,Piano,Boredom,Change appearance,Suggest all 3 fight (without informing troll),Forest,Left
Ravenclaw,The Great,Piano,Cure>Book>Records,Werewolves,"Tell Flitwick, you'll get points",Dusk,Heads
Gryffindor,The Great,Piano,Cure>Book>Records,Werewolves,Eye at keyhole of dark,Forest,Left
Ravenclaw,The Great,Piano,Hunger,Ghosts,Withdraw and review spells,Forest,Left
Slytherin,The Great,Piano,Hunger,Werewolves,Withdraw and review spells,Stars,Black
Ravenclaw,The Great,Piano,Trusted,Every area of magic,Withdraw and review spells,Stars,Left
Hufflepuff,The Great,Piano,Trusted,Werewolves,"Tell Flitwick, you'll get points",Stars,Heads
Slytherin,The Great,Plums and chocolate,Being Ignored,Goblins,Tell person to tell truth or you will,River,Right
Slytherin,The Great,Plums and chocolate,Book>Cure>Records,Ghosts,Lantern-lit alley,Dawn,Tails
Slytherin,The Great,Plums and chocolate,Praised,Every area of magic,Suggest all 3 fight (without informing troll),Forest,Tails
Slytherin,The Great,Sea,Being Ignored,Hexes and Jinxes,Agree and walk away (bluffing),Moon,Tails
Ravenclaw,The Great,"Silver tree, golden apples",Book>Cure>Records,Read Minds,Tell person to tell truth or you will,Forest,Black
Slytherin,The Great,"Silver tree, golden apples",Boredom,Centaurs,"Tell Flitwick, you'll get points",Forest,Black
Slytherin,The Great,"Silver tree, golden apples",Boredom,Read Minds,Agree and walk away (bluffing),Stars,White
Slytherin,The Great,"Silver tree, golden apples",Boredom,Transfiguration,"Worried about mental health, call Dr.",Forest,Left
Slytherin,The Great,"Silver tree, golden apples",Cold,Apparition/Disapparition,Twisting leafy woodsy path,Forest,White
Slytherin,The Great,"Silver tree, golden apples",Cold,Merpeople,Ask what makes them think so,Stars,Left
Ravenclaw,The Great,"Silver tree, golden apples",Cold,Read Minds,Twisting leafy woodsy path,Forest,Heads
Gryffindor,The Great,"Silver tree, golden apples",Cure>Book>Records,Apparition/Disapparition,Twisting leafy woodsy path,Forest,Left
Gryffindor,The Great,"Silver tree, golden apples",Cure>Book>Records,Change appearance,Twisting leafy woodsy path,Forest,White
Ravenclaw,The Great,"Silver tree, golden apples",Cure>Book>Records,Merpeople,Ask what makes them think so,Forest,White
Slytherin,The Great,"Silver tree, golden apples",Hunger,Superstrength,Nightmare: silly voice,Moon,Black
Ravenclaw,The Great,"Silver tree, golden apples",Hunger,Transfiguration,Lantern-lit alley,Forest,Black
Slytherin,The Great,"Silver tree, golden apples",Praised,Apparition/Disapparition,"Up high, no handholds",Dusk,Tails
Slytherin,The Great,Silvery glittery potion,Book>Cure>Records,Merpeople,Withdraw and review spells,Dusk,Left
Slytherin,The Great,Silvery glittery potion,Cold,Apparition/Disapparition,"Up high, no handholds",Forest,White
Ravenclaw,The Great,Silvery glittery potion,Cure>Book>Records,Every area of magic,Confuse Troll,Forest,Black
Slytherin,The Great,Silvery glittery potion,Cure>Book>Records,Superstrength,Tell Flitwick before the test,Moon,White
Ravenclaw,The Great,Silvery glittery potion,Cure>Book>Records,Werewolves,Ask what makes them think so,Forest,Heads
Slytherin,The Great,Silvery glittery potion,Envied,Change appearance,"Proceed with caution, concealed wand",Forest,Black
Ravenclaw,The Great,Silvery glittery potion,Hunger,Apparition/Disapparition,Ask what makes them think so,Forest,Heads
Ravenclaw,The Great,Silvery glittery potion,Hunger,Change appearance,Eye at keyhole of dark,Stars,Black
Ravenclaw,The Great,Silvery glittery potion,Hunger,Merpeople,Confuse Troll,Moon,Left
Gryffindor,The Great,Silvery glittery potion,Praised,Change appearance,Confuse Troll,Forest,Tails
Ravenclaw,The Great,Silvery glittery potion,Trusted,Change appearance,"Cobbled street, ancient buildings",Dusk,Heads
Ravenclaw,The Great,Silvery glittery potion,Trusted,Every area of magic,"Cobbled street, ancient buildings",Forest,White
Ravenclaw,The Great,Statue,Book>Cure>Records,Every area of magic,Ask what makes them think so,Moon,Right
Slytherin,The Great,Statue,Cure>Book>Records,Change appearance,"Cobbled street, ancient buildings",Dusk,Left
Slytherin,The Great,Statue,Feared,Transfiguration,Nightmare: silly voice,Stars,Tails
Ravenclaw,The Great,Statue,Hunger,Every area of magic,Withdraw and review spells,Dusk,Black
Slytherin,The Great,Statue,Hunger,Every area of magic,"Tell Flitwick, you'll get points",Dusk,Left
Ravenclaw,The Great,Statue,Hunger,Ghosts,Ask what makes them think so,Dusk,White
Ravenclaw,The Great,Statue,Hunger,Goblins,"Worried about mental health, call Dr.",Dawn,Tails
Hufflepuff,The Great,Statue,Hunger,Werewolves,Ask what makes them think so,Stars,Heads
Hufflepuff,The Great,Statue,Hunger,Werewolves,Ask what makes them think so,Stars,Heads
Gryffindor,The Great,Statue,Trusted,Change appearance,Withdraw and review spells,Stars,Left
Gryffindor,The Great,Statue,Trusted,Change appearance,Eye at keyhole of dark,Dusk,White
Gryffindor,The Great,Statue,Trusted,Change appearance,Ask what makes them think so,Stars,White
Gryffindor,The Great,Statue,Trusted,Every area of magic,Withdraw and review spells,Stars,Black
Gryffindor,The Great,Statue,Trusted,Every area of magic,Ask what makes them think so,Forest,Heads
Gryffindor,The Great,Statue,Trusted,Werewolves,"Cobbled street, ancient buildings",Stars,Left
Slytherin,The Great,Trumpet,Hunger,Hexes and Jinxes,Silly voice,Forest,Right
Slytherin,The Great,Trumpet,Hunger,Superstrength,Nightmare: silly voice,Moon,Left
Slytherin,The Great,Violin,Book>Records>Cure,Read Minds,Suggest all 3 fight (without informing troll),Stars,Right
Slytherin,The Great,Violin,Book>Records>Cure,Read minds,Agree and walk away (bluffing),Dusk,Tails
Slytherin,The Great,Violin,Cure>Book>Records,Change appearance,"Proceed with caution, concealed wand",Dusk,Tails
Slytherin,The Great,Violin,Hunger,Ghosts,"Worried about mental health, call Dr.",Dusk,Black
Slytherin,The Great,Violin,Liked,Every area of magic,Confuse troll,Dusk,Black
Slytherin,The Great,Violin,Praised,Apparition/Disapparition,"Up high, no handholds",Dusk,White
Gryffindor,The GreatÂ,Log Fire,Cure>Book>Records,Castle secrets,Confuse Troll,Forest,Left
Gryffindor,The GreatÂ,Luminous pool,Cure>Book>Records,Broom Flying,Tell person to tell truth or you will,Forest,White
Slytherin,The Wise,Black visions goblet,Boredom,Change the past,Silly voice,Dawn,Heads
Hufflepuff,The Wise,Black visions goblet,Loneliness,Werewolves,Tell person to tell truth or you will,Dusk,Heads
Slytherin,The Wise,Black visions goblet,Praised,Ghosts,Lantern-lit alley,Moon,Black
Hufflepuff,The Wise,Drums,Hunger,Superstrength,Lantern-lit alley,Dusk,Right
Ravenclaw,The Wise,Fresh Parchment,Being Ignored,Read Minds,"Cobbled street, ancient buildings",Forest,White
Ravenclaw,The Wise,Fresh Parchment,Book>Cure>Records,Castle secrets,Eye at keyhole of dark,River,Right
Ravenclaw,The Wise,Fresh Parchment,Book>Cure>Records,Every area of magic,Eye at keyhole of dark,Stars,Tails
Ravenclaw,The Wise,Fresh Parchment,Book>Cure>Records,Every area of magic,Eye at keyhole of dark,Stars,Tails
Ravenclaw,The Wise,Fresh Parchment,Book>Cure>Records,Merpeople,"Cobbled street, ancient buildings",Forest,Right
Ravenclaw,The Wise,Fresh Parchment,Book>Records>Cure,Merpeople,"Cobbled street, ancient buildings",Moon,Black
Ravenclaw,The Wise,Fresh Parchment,Cold,Every area of magic,Eye at keyhole of dark,Forest,Left
Ravenclaw,The Wise,Fresh Parchment,Hunger,Centaurs,Withdraw and review spells,Stars,Left
Slytherin,The Wise,Fresh Parchment,Trusted,Read Minds,Eye at keyhole of dark,Moon,Left
Slytherin,The Wise,Fresh Parchment,Trusted,Read Minds,Eye at keyhole of dark,Moon,Left
Ravenclaw,The Wise,Golden sunspots potion,Being Ignored,Every area of magic,"Proceed with caution, concealed wand",Forest,Tails
Gryffindor,The Wise,Golden sunspots potion,Book>Cure>Records,Invisibility,"Draw wand, find source",Forest,Heads
Gryffindor,The Wise,Golden sunspots potion,Book>Cure>Records,Talk to animals,Eye at keyhole of dark,Stars,Black
Gryffindor,The Wise,Golden sunspots potion,Liked,Castle secrets,"Cobbled street, ancient buildings",Dusk,Black
Ravenclaw,The Wise,Home,Being Ignored,Invisibility,Ask what makes them think so,River,White
Ravenclaw,The Wise,Home,Being Ignored,Read Minds,No one knows you,Dawn,Heads
Hufflepuff,The Wise,Home,Book>Cure>Records,Magical Creatures,"Proceed with caution, concealed wand",Stars,Right
Ravenclaw,The Wise,Home,Cure>Book>Records,Every area of magic,No one knows you,Dawn,White
Gryffindor,The Wise,Log Fire,Boredom,Transfiguration,Volunteer to fight the troll,Dusk,Tails
Gryffindor,The Wise,Log Fire,Imitated,Centaurs,Withdraw and review spells,Forest,Black
Slytherin,The Wise,Log Fire,Loneliness,Invisibility,Withdraw and review spells,Dusk,Left
Hufflepuff,The Wise,Log Fire,Praised,Broom Flying,Wide sunny grassy lane,River,Heads
Slytherin,The Wise,Luminous pool,Book>Cure>Records,Merpeople,Lantern-lit alley,Dusk,Left
Slytherin,The Wise,Luminous pool,Boredom,Change the past,Suggest all 3 fight (without informing troll),Forest,Right
Gryffindor,The Wise,Luminous pool,Praised,Invisibility,"Tell Flitwick, you'll get points",Dawn,Black
Hufflepuff,The Wise,Luminous pool,Trusted,Magical Creatures,Withdraw and review spells,River,White
Ravenclaw,The Wise,Luminous pool,Trusted,Talk to animals,Ask what makes them think so,Dawn,Right
Slytherin,The Wise,Merlin's rune box,Being Ignored,Apparition/Disapparition,"Tell Flitwick, you'll get points",Stars,Heads
Slytherin,The Wise,Merlin's rune box,Being Ignored,Vampires,Lantern-lit alley,Dusk,Tails
Ravenclaw,The Wise,Merlin's rune box,Book>Cure>Records,Talk to animals,Confuse Troll,Moon,Tails
Ravenclaw,The Wise,Merlin's rune box,Book>Records>Cure,Merpeople,Transfiguration,River,White
Ravenclaw,The Wise,Merlin's rune box,Boredom,Every area of magic,Ask what makes them think so,Moon,Left
Slytherin,The Wise,Merlin's rune box,Cure>Book>Records,Read Minds,Confuse troll,Dusk,Tails
Slytherin,The Wise,Merlin's rune box,Cure>Book>Records,Werewolves,"Proceed with caution, concealed wand",River,Left
Slytherin,The Wise,Merlin's rune box,Envied,Read Minds,No one knows you,River,Tails
Ravenclaw,The Wise,Merlin's rune box,Feared,Invisibility,Eye at keyhole of dark,Dusk,Right
Ravenclaw,The Wise,Merlin's rune box,Feared,Invisibility,Eye at keyhole of dark,Dusk,Tails
Ravenclaw,The Wise,Merlin's rune box,Imitated,Every area of magic,Confuse Troll,Stars,Heads
Gryffindor,The Wise,Merlin's rune box,Liked,Change appearance,Eye at keyhole of dark,Forest,Tails
Slytherin,The Wise,Merlin's rune box,Praised,Merpeople,No one knows you,Stars,White
Ravenclaw,The Wise,Ornate temptation box,Book>Cure>Records,Castle secrets,Volunteer to fight,Forest,Heads
Ravenclaw,The Wise,Ornate temptation box,Book>Records>Cure,Ghosts,Tell Flitwick before the test,Forest,Left
Slytherin,The Wise,Ornate temptation box,Envied,Merpeople,Ask what makes them think so,Stars,Black
Ravenclaw,The Wise,Ornate temptation box,Hunger,Werewolves,Ask what makes them think so,Stars,Left
Ravenclaw,The Wise,Pewter box for worthy,Book>Cure>Records,Every area of magic,Ask what makes them think so,Dusk,Black
Ravenclaw,The Wise,Pewter box for worthy,Book>Cure>Records,Every area of magic,"Cobbled street, ancient buildings",Forest,Left
Slytherin,The Wise,Pewter box for worthy,Cold,Invisibility,"Tell Flitwick, you'll get points",River,Black
Ravenclaw,The Wise,Pewter box for worthy,Cure>Book>Records,Invisibility,Confuse Troll,Dawn,Left
Gryffindor,The Wise,Pewter box for worthy,Cure>Records>Book,Every area of magic,Volunteer to fight the troll,Stars,Tails
Ravenclaw,The Wise,Piano,Being Ignored,Every area of magic,"Draw wand, find source",Dusk,Heads
Ravenclaw,The Wise,Piano,Being Ignored,Every area of magic,"Cobbled street, ancient buildings",River,Tails
Ravenclaw,The Wise,Piano,Book>Cure>Records,Werewolves,Agree and walk away (bluffing),River,Left
Hufflepuff,The Wise,Piano,Boredom,Every area of magic,"Proceed with caution, concealed wand",River,Heads
Ravenclaw,The Wise,Piano,Boredom,Every area of magic,Confuse Troll,Forest,Right
Ravenclaw,The Wise,Piano,Loneliness,Apparition/Disapparition,"Cobbled street, ancient buildings",Stars,Heads
Ravenclaw,The Wise,Piano,Trusted,Centaurs,Confuse Troll,River,Black
Ravenclaw,The Wise,Piano,Trusted,Centaurs,Withdraw and review spells,Dawn,Left
Ravenclaw,The Wise,Piano,Trusted,Centaurs,Withdraw and review spells,Moon,Right
Gryffindor,The Wise,Piano,Trusted,Change appearance,Eye at keyhole of dark,Dusk,Tails
Hufflepuff,The Wise,Piano,Trusted,Magical Creatures,"Worried about mental health, call Dr.",Forest,White
Slytherin,The Wise,Piano,Trusted,Merpeople,Tell person to tell truth or you will,River,Black
Hufflepuff,The Wise,Plums and chocolate,Cure>Book>Records,Change appearance,Wide sunny grassy lane,Stars,Right
Ravenclaw,The Wise,Plums and chocolate,Cure>Book>Records,Change the past,Confuse Troll,Dawn,Left
Gryffindor,The Wise,Plums and chocolate,Imitated,Werewolves,Agree and walk away (bluffing),Forest,Black
Hufflepuff,The Wise,Plums and chocolate,Liked,Read minds,No one knows you,River,Heads
Hufflepuff,The Wise,Plums and chocolate,Loneliness,Invisibility,Agree and walk away (bluffing),River,Right
Gryffindor,The Wise,Plums and chocolate,Trusted,Castle secrets,"Draw wand, find source",Dawn,Black
Slytherin,The Wise,Sea,Boredom,Centaurs,"Cobbled street, ancient buildings",Stars,Left
Ravenclaw,The Wise,Sea,Cure>Book>Records,Change the past,Withdraw and review spells,Moon,Heads
Ravenclaw,The Wise,Sea,Envied,Read Minds,Confuse Troll,Dawn,Heads
Ravenclaw,The Wise,Sea,Hunger,Every area of magic,"Up high, no handholds",Dusk,Heads
Ravenclaw,The Wise,Sea,Hunger,Every area of magic,"Up high, no handholds",Dusk,Heads
Slytherin,The Wise,Sea,Liked,Invisibility,"Tell Flitwick, you'll get points",Dusk,Left
Hufflepuff,The Wise,Sea,Records>Book>Cure,Invisibility,"Proceed with caution, concealed wand",Stars,White
Ravenclaw,The Wise,"Silver tree, golden apples",Hunger,Talk to animals,"Up high, no handholds",Moon,White
Ravenclaw,The Wise,"Silver tree, golden apples",Liked,Goblins,"Up high, no handholds",Moon,Black
Ravenclaw,The Wise,"Silver tree, golden apples",Loneliness,Castle secrets,Wide sunny grassy lane,Stars,Left
Gryffindor,The Wise,"Silver tree, golden apples",Praised,Broom Flying,Ask what makes them think so,Moon,Right
Gryffindor,The Wise,"Silver tree, golden apples",Praised,Castle secrets,Confuse Troll,Stars,Right
Ravenclaw,The Wise,"Silver tree, golden apples",Trusted,Centaurs,Ask what makes them think so,Forest,Black
Ravenclaw,The Wise,Silvery glittery potion,Book>Cure>Records,Ghosts,Ask what makes them think so,River,Tails
Ravenclaw,The Wise,Silvery glittery potion,Book>Cure>Records,Ghosts,Ask what makes them think so,River,Tails
Ravenclaw,The Wise,Silvery glittery potion,Boredom,Change appearance,"Tell Flitwick, you'll get points",River,Tails
Gryffindor,The Wise,Silvery glittery potion,Praised,Invisibility,Tell person to tell truth or you will,Dusk,Right
Ravenclaw,The Wise,Silvery glittery potion,Trusted,Every area of magic,Ask what makes them think so,Dusk,Left
Ravenclaw,The Wise,Statue,Being Ignored,Talk to animals,Twisting leafy woodsy path,Moon,Black
Ravenclaw,The Wise,Statue,Book>Cure>Records,Every area of magic,Eye at keyhole of dark,River,Left
Slytherin,The Wise,Statue,Envied,Superstrength,Suggest all 3 fight (without informing troll),Stars,White
Ravenclaw,The Wise,Statue,Hunger,Change appearance,"Cobbled street, ancient buildings",River,Tails
Ravenclaw,The Wise,Statue,Loneliness,Ghosts,Confuse Troll,Moon,White
Ravenclaw,The Wise,Statue,Loneliness,Transfiguration,Offer them a sample of a jinx,Stars,White
Ravenclaw,The Wise,Talking Toadstools,Book>Cure>Records,Every area of magic,Tell person to tell truth or you will,Stars,Left
Hufflepuff,The Wise,Talking toadstools,Cold,Goblins,Withdraw and review spells,River,Right
Hufflepuff,The Wise,Talking toadstools,Records>Book>Cure,Centaurs,Eye at keyhole of dark,Forest,White
Hufflepuff,The Wise,Tortoiseshell squeaky box,Cure>Book>Records,Magical Creatures,"Tell Flitwick, you'll get points",Stars,White
Hufflepuff,The Wise,Trumpet,Cure>Records>Book,Superstrength,Twisting leafy woodsy path,Stars,Tails
Hufflepuff,The Wise,Trumpet,Cure>Records>Book,Superstrength,Twisting leafy woodsy path,Stars,Tails
Hufflepuff,The Wise,Trumpet,Cure>Records>Book,Superstrength,Twisting leafy woodsy path,Stars,Tails
Hufflepuff,The Wise,Trumpet,Cure>Records>Book,Werewolves,Offer them a sample of a jinx,Dusk,Right
Slytherin,The Wise,Trumpet,Records>Book>Cure,Vampires,Twisting leafy woodsy path,River,Right
Slytherin,The Wise,Violin,Being Ignored,Change the past,Eye at keyhole of dark,Stars,Tails
Gryffindor,The Wise,Violin,Boredom,Werewolves,Confuse Troll,Forest,Right
Gryffindor,The Wise,Violin,Cure>Book>Records,Castle secrets,Twisting leafy woodsy path,River,White
Gryffindor,The Wise,Violin,Cure>Book>Records,Centaurs,Eye at keyhole of dark,Dusk,Left
